Time(ms),USB(mA),USB Voltage(V),
np.float64(0.10824799537658691),np.float64(233.9663008023432),np.float64(4.916875),
np.float64(0.10845208168029785),np.float64(233.5162994318204),np.float64(4.917),
np.float64(0.10863184928894043),np.float64(234.16483081875032),np.float64(4.91625),
np.float64(0.10885095596313477),np.float64(234.07218347776035),np.float64(4.91625),
np.float64(0.10904073715209961),np.float64(235.07806889422307),np.float64(4.9145),
np.float64(0.10925889015197754),np.float64(235.3824815860473),np.float64(4.917),
np.float64(0.10944080352783203),np.float64(233.07953339572475),np.float64(4.91775),
np.float64(0.10964798927307129),np.float64(234.3501255007303),np.float64(4.913375),
np.float64(0.10984587669372559),np.float64(239.30014057648106),np.float64(4.9125000000000005),
np.float64(0.11004281044006348),np.float64(236.4148376713643),np.float64(4.917),
np.float64(0.11025094985961914),np.float64(234.00600680562462),np.float64(4.916625),
np.float64(0.11044597625732422),np.float64(234.1251248154689),np.float64(4.9165),
np.float64(0.11063194274902344),np.float64(234.2177721564589),np.float64(4.9175),
np.float64(0.11083269119262695),np.float64(230.60452585784938),np.float64(4.9201250000000005),
np.float64(0.11101484298706055),np.float64(230.18099515618087),np.float64(4.91775),
np.float64(0.11121392250061035),np.float64(231.63688194316637),np.float64(4.91725),
np.float64(0.11142969131469727),np.float64(233.27806341213187),np.float64(4.9165),
np.float64(0.11162281036376953),np.float64(233.63541744166469),np.float64(4.917),
np.float64(0.11182188987731934),np.float64(233.4104167564033),np.float64(4.916625),
np.float64(0.11201882362365723),np.float64(233.569240769529),np.float64(4.91675),
np.float64(0.11221981048583984),np.float64(233.82071212364465),np.float64(4.916875),
np.float64(0.1124269962310791),np.float64(233.50306409739326),np.float64(4.91625),
np.float64(0.1126089096069336),np.float64(233.64865277609184),np.float64(4.9165),
np.float64(0.11282682418823242),np.float64(233.6751234449461),np.float64(4.91625),
np.float64(0.1130228042602539),np.float64(233.9663008023432),np.float64(4.91625),
np.float64(0.11322689056396484),np.float64(233.79424145479038),np.float64(4.91675),
np.float64(0.1134188175201416),np.float64(233.383946087549),np.float64(4.917),
np.float64(0.11361289024353027),np.float64(233.5824761039561),np.float64(4.916125),
np.float64(0.11381983757019043),np.float64(235.6736589434444),np.float64(4.914625),
np.float64(0.1140289306640625),np.float64(235.7001296122987),np.float64(4.916625),
np.float64(0.11422371864318848),np.float64(234.69424419583598),np.float64(4.91675),
np.float64(0.1144258975982666),np.float64(233.383946087549),np.float64(4.91725),
np.float64(0.11461806297302246),np.float64(233.5162994318204),np.float64(4.91625),
np.float64(0.11481785774230957),np.float64(234.3501255007303),np.float64(4.916125),
np.float64(0.11501002311706543),np.float64(234.66777352698168),np.float64(4.916125),
np.float64(0.11520576477050781),np.float64(235.06483355979591),np.float64(4.916),
np.float64(0.11544084548950195),np.float64(234.40306683843886),np.float64(4.91675),
np.float64(0.11562800407409668),np.float64(233.9663008023432),np.float64(4.9165),
np.float64(0.11585283279418945),np.float64(233.6089467728104),np.float64(4.91625),
np.float64(0.11602973937988281),np.float64(233.6751234449461),np.float64(4.916875),
