Time(ms),USB(mA),USB Voltage(V),
np.float64(0.32637572288513184),np.float64(234.56189085156456),np.float64(4.9165),
np.float64(0.32657575607299805),np.float64(234.03247747447892),np.float64(4.91675),
np.float64(0.3268318176269531),np.float64(234.49571417942886),np.float64(4.9165),
np.float64(0.32700586318969727),np.float64(234.11188948104177),np.float64(4.916875),
np.float64(0.3271908760070801),np.float64(231.7030586153021),np.float64(4.918375),
np.float64(0.3273940086364746),np.float64(232.16629532025203),np.float64(4.918125),
np.float64(0.3275918960571289),np.float64(232.15305998582488),np.float64(4.917375),
np.float64(0.32781291007995605),np.float64(233.21188673999617),np.float64(4.91675),
np.float64(0.3280150890350342),np.float64(233.86041812692608),np.float64(4.91725),
np.float64(0.3282148838043213),np.float64(233.92659479906177),np.float64(4.91675),
np.float64(0.3283970355987549),np.float64(234.9324802155245),np.float64(4.914),
np.float64(0.32859110832214355),np.float64(237.32807574683704),np.float64(4.915),
np.float64(0.3288288116455078),np.float64(235.8589536254244),np.float64(4.916625),
np.float64(0.32899975776672363),np.float64(234.40306683843886),np.float64(4.917125),
np.float64(0.32919979095458984),np.float64(233.63541744166469),np.float64(4.9175),
np.float64(0.3293900489807129),np.float64(233.569240769529),np.float64(4.917625),
np.float64(0.3295888900756836),np.float64(232.47070801207627),np.float64(4.9205000000000005),
np.float64(0.329833984375),np.float64(229.75746445451236),np.float64(4.918375),
np.float64(0.33016180992126465),np.float64(231.62364660873925),np.float64(4.9185),
np.float64(0.33034276962280273),np.float64(233.50306409739326),np.float64(4.91725),
np.float64(0.3304617404937744),np.float64(233.64865277609184),np.float64(4.917),
np.float64(0.3306138515472412),np.float64(233.59571143838326),np.float64(4.9165),
np.float64(0.33084678649902344),np.float64(235.448658258183),np.float64(4.915),
np.float64(0.3310120105743408),np.float64(235.6736589434444),np.float64(4.916125),
np.float64(0.33120298385620117),np.float64(234.65453819255455),np.float64(4.91725),
np.float64(0.3314018249511719),np.float64(233.52953476624756),np.float64(4.916625),
np.float64(0.33159804344177246),np.float64(233.91335946463465),np.float64(4.916875),
np.float64(0.33183789253234863),np.float64(234.50894951385598),np.float64(4.916375),
np.float64(0.3320028781890869),np.float64(234.7074795302631),np.float64(4.91625),
np.float64(0.3321988582611084),np.float64(235.39571692047446),np.float64(4.916125),
np.float64(0.3323960304260254),np.float64(234.72071486469025),np.float64(4.9165),
np.float64(0.332629919052124),np.float64(233.23835740885045),np.float64(4.9175),
np.float64(0.3328378200531006),np.float64(233.23835740885045),np.float64(4.9165),
np.float64(0.3330228328704834),np.float64(233.87365346135323),np.float64(4.917625),
np.float64(0.3331937789916992),np.float64(232.88100337931763),np.float64(4.917),
np.float64(0.33339595794677734),np.float64(233.9927714711975),np.float64(4.917),
np.float64(0.33359789848327637),np.float64(233.78100612036323),np.float64(4.91725),
np.float64(0.33383703231811523),np.float64(233.88688879578035),np.float64(4.916125),
np.float64(0.3339869976043701),np.float64(234.27071349416747),np.float64(4.91625),
np.float64(0.3341968059539795),np.float64(234.416302172866),np.float64(4.91725),
np.float64(0.33440685272216797),np.float64(233.86041812692608),np.float64(4.91675),
np.float64(0.334608793258667),np.float64(233.0927687301519),np.float64(4.91775),
np.float64(0.3348357677459717),np.float64(233.48982876296614),np.float64(4.915),
np.float64(0.3350248336791992),np.float64(237.68542977636986),np.float64(4.91475),
np.float64(0.33519887924194336),np.float64(236.1236603139672),np.float64(4.91725),
np.float64(0.3354008197784424),np.float64(234.8001268712531),np.float64(4.916),
np.float64(0.3356149196624756),np.float64(234.50894951385598),np.float64(4.916875),
np.float64(0.33583998680114746),np.float64(234.29718416302174),np.float64(4.9182500000000005),
np.float64(0.33600878715515137),np.float64(232.00747130712634),np.float64(4.920625),
np.float64(0.3362128734588623),np.float64(229.69128778237666),np.float64(4.9190000000000005),
np.float64(0.3363978862762451),np.float64(231.37217525462356),np.float64(4.918875),
np.float64(0.33660006523132324),np.float64(232.39129600551342),np.float64(4.9175),
np.float64(0.3368339538574219),np.float64(233.0001213891619),np.float64(4.917),
np.float64(0.33699607849121094),np.float64(232.7354147006191),np.float64(4.918),
np.float64(0.33719968795776367),np.float64(232.89423871374478),np.float64(4.917375),
np.float64(0.33741307258605957),np.float64(233.27806341213187),np.float64(4.917625),
np.float64(0.3376150131225586),np.float64(233.45012275968472),np.float64(4.9175),
np.float64(0.33783602714538574),np.float64(233.0927687301519),np.float64(4.917625),
np.float64(0.3380100727081299),np.float64(233.35747541869472),np.float64(4.916625),
np.float64(0.33820199966430664),np.float64(233.55600543510184),np.float64(4.917375),
np.float64(0.3384068012237549),np.float64(233.35747541869472),np.float64(4.9175),
np.float64(0.3385887145996094),np.float64(233.11923939900618),np.float64(4.917625),
np.float64(0.3388338088989258),np.float64(233.0927687301519),np.float64(4.916375),
np.float64(0.3390059471130371),np.float64(233.88688879578035),np.float64(4.916),
np.float64(0.3392167091369629),np.float64(236.15013098282148),np.float64(4.915875),
np.float64(0.3394198417663574),np.float64(235.10453956307734),np.float64(4.917),
np.float64(0.3396108150482178),np.float64(233.9663008023432),np.float64(4.916625),
np.float64(0.33983469009399414),np.float64(234.4824788450017),np.float64(4.917),
np.float64(0.34000587463378906),np.float64(234.1251248154689),np.float64(4.9165),
np.float64(0.34020090103149414),np.float64(234.36336083515744),np.float64(4.91725),
np.float64(0.3403959274291992),np.float64(234.3765961695846),np.float64(4.916125),
np.float64(0.3406209945678711),np.float64(234.58836152041883),np.float64(4.917),
np.float64(0.34082674980163574),np.float64(233.71482944822753),np.float64(4.91725),
np.float64(0.34097981452941895),np.float64(233.13247473343333),np.float64(4.91675),
np.float64(0.3412189483642578),np.float64(233.29129874655902),np.float64(4.917875),
np.float64(0.3414120674133301),np.float64(233.06629806129763),np.float64(4.916375),
np.float64(0.34160876274108887),np.float64(234.20453682203174),np.float64(4.91675),
np.float64(0.34183478355407715),np.float64(234.13836014989604),np.float64(4.91725),
np.float64(0.34220194816589355),np.float64(234.13836014989604),np.float64(4.91775),
np.float64(0.3424079418182373),np.float64(233.46335809411184),np.float64(4.91725),
np.float64(0.34261083602905273),np.float64(233.05306272687048),np.float64(4.917375),
np.float64(0.3428940773010254),np.float64(235.27659891063018),np.float64(4.915375),
np.float64(0.34302377700805664),np.float64(236.0971896451129),np.float64(4.915625),
np.float64(0.3432140350341797),np.float64(234.99865688766022),np.float64(4.916375),
np.float64(0.3433997631072998),np.float64(234.07218347776035),np.float64(4.916),
np.float64(0.34362006187438965),np.float64(234.3898315040117),np.float64(4.91625),
np.float64(0.34383678436279297),np.float64(233.7413001170818),np.float64(4.91625),
np.float64(0.34401893615722656),np.float64(230.93540921852792),np.float64(4.9197500000000005),
np.float64(0.34421706199645996),np.float64(230.379525172588),np.float64(4.91875),
np.float64(0.34439587593078613),np.float64(231.66335261202067),np.float64(4.918),
np.float64(0.3446037769317627),np.float64(233.26482807770472),np.float64(4.917125),
np.float64(0.3448359966278076),np.float64(232.9339447170262),np.float64(4.9175),
np.float64(0.34502196311950684),np.float64(233.7677707859361),np.float64(4.917),
np.float64(0.3452107906341553),np.float64(233.3177694154133),np.float64(4.917875),
np.float64(0.34540486335754395),np.float64(232.7354147006191),np.float64(4.91775),
np.float64(0.3456108570098877),np.float64(232.15305998582488),np.float64(4.918),
np.float64(0.34583592414855957),np.float64(233.48982876296614),np.float64(4.917),
np.float64(0.34602785110473633),np.float64(233.70159411380038),np.float64(4.916375),
np.float64(0.3462209701538086),np.float64(234.3104194974489),np.float64(4.91725),
np.float64(0.3464198112487793),np.float64(233.0265920580162),np.float64(4.918),
np.float64(0.3466160297393799),np.float64(233.569240769529),np.float64(4.917375),
np.float64(0.346815824508667),np.float64(233.0265920580162),np.float64(4.9165),
np.float64(0.34699273109436035),np.float64(233.50306409739326),np.float64(4.9165),
np.float64(0.34718894958496094),np.float64(233.476593428539),np.float64(4.917),
np.float64(0.3473849296569824),np.float64(234.5751261859917),np.float64(4.915625),
np.float64(0.3475818634033203),np.float64(235.8721889598515),np.float64(4.916375),
np.float64(0.3478100299835205),np.float64(234.1515954843232),np.float64(4.91725),
np.float64(0.3479897975921631),np.float64(233.14571006786048),np.float64(4.917),
np.float64(0.34819984436035156),np.float64(233.82071212364465),np.float64(4.917),
np.float64(0.3484017848968506),np.float64(233.88688879578035),np.float64(4.917125),
np.float64(0.34859371185302734),np.float64(234.27071349416747),np.float64(4.917),
np.float64(0.3488118648529053),np.float64(234.65453819255455),np.float64(4.9165),
np.float64(0.3489830493927002),np.float64(234.17806615317747),np.float64(4.91725),
np.float64(0.3491959571838379),np.float64(233.2515927432776),np.float64(4.9175),
np.float64(0.34939002990722656),np.float64(233.4104167564033),np.float64(4.917375),
np.float64(0.34958672523498535),np.float64(233.1854160711419),np.float64(4.917375),
np.float64(0.3498098850250244),np.float64(233.37071075312187),np.float64(4.916625),
np.float64(0.3500039577484131),np.float64(233.8339474580718),np.float64(4.916),
np.float64(0.3501899242401123),np.float64(234.20453682203174),np.float64(4.91675),
np.float64(0.3503987789154053),np.float64(233.9927714711975),np.float64(4.91675),
np.float64(0.3505887985229492),np.float64(233.75453545150896),np.float64(4.9175),
np.float64(0.3508148193359375),np.float64(233.55600543510184),np.float64(4.91625),
np.float64(0.3509817123413086),np.float64(233.66188811051896),np.float64(4.917375),
np.float64(0.351193904876709),np.float64(233.2515927432776),np.float64(4.917125),
np.float64(0.35139989852905273),np.float64(235.75307095000724),np.float64(4.914625),
np.float64(0.35161280632019043),np.float64(236.9971923861585),np.float64(4.9155),
np.float64(0.35181379318237305),np.float64(235.64718827459012),np.float64(4.915875),
np.float64(0.3520028591156006),np.float64(234.40306683843886),np.float64(4.91725),
np.float64(0.35219287872314453),np.float64(234.3104194974489),np.float64(4.916),
np.float64(0.35239696502685547),np.float64(233.476593428539),np.float64(4.916875),
np.float64(0.3525979518890381),np.float64(230.0618771463366),np.float64(4.920875),
np.float64(0.35283398628234863),np.float64(230.30011316602514),np.float64(4.9182500000000005),
np.float64(0.35301804542541504),np.float64(232.23247199238773),np.float64(4.91725),
np.float64(0.35321784019470215),np.float64(233.476593428539),np.float64(4.918),
np.float64(0.35340285301208496),np.float64(233.0927687301519),np.float64(4.917375),
np.float64(0.35361409187316895),np.float64(233.19865140556902),np.float64(4.917625),
np.float64(0.3538198471069336),np.float64(232.72217936619194),np.float64(4.918),
np.float64(0.3540017604827881),np.float64(232.89423871374478),np.float64(4.91725),
np.float64(0.3542149066925049),np.float64(234.5486555171374),np.float64(4.916625),
np.float64(0.3544130325317383),np.float64(234.0589481433332),np.float64(4.9175),
np.float64(0.3546159267425537),np.float64(233.8339474580718),np.float64(4.9175),
np.float64(0.35483479499816895),np.float64(234.44277284172028),np.float64(4.917),
np.float64(0.3550257682800293),np.float64(233.95306546791608),np.float64(4.91725),
np.float64(0.3552219867706299),np.float64(234.78689153682595),np.float64(4.9185),
np.float64(0.3554198741912842),np.float64(233.27806341213187),np.float64(4.917375),
np.float64(0.3557398319244385),np.float64(233.5162994318204),np.float64(4.917125),
np.float64(0.35582780838012695),np.float64(235.46189359261015),np.float64(4.91575),
np.float64(0.3560328483581543),np.float64(235.8721889598515),np.float64(4.9165),
np.float64(0.35621190071105957),np.float64(234.03247747447892),np.float64(4.9165),
np.float64(0.3564300537109375),np.float64(234.29718416302174),np.float64(4.916375),
np.float64(0.35662198066711426),np.float64(234.50894951385598),np.float64(4.91625),
np.float64(0.35683608055114746),np.float64(234.60159685484598),np.float64(4.916875),
np.float64(0.35701870918273926),np.float64(234.50894951385598),np.float64(4.916375),
np.float64(0.35721802711486816),np.float64(234.83983287453452),np.float64(4.91675),
np.float64(0.35743188858032227),np.float64(233.476593428539),np.float64(4.918375),
np.float64(0.35762500762939453),np.float64(233.23835740885045),np.float64(4.918),
np.float64(0.3578329086303711),np.float64(233.1854160711419),np.float64(4.917125),
np.float64(0.35799479484558105),np.float64(233.19865140556902),np.float64(4.917125),
np.float64(0.35819005966186523),np.float64(234.3501255007303),np.float64(4.917),
np.float64(0.3583989143371582),np.float64(233.9663008023432),np.float64(4.917125),
np.float64(0.3586087226867676),np.float64(233.59571143838326),np.float64(4.917),
np.float64(0.35881805419921875),np.float64(234.07218347776035),np.float64(4.917375),
np.float64(0.3590059280395508),np.float64(234.8927742122431),np.float64(4.91475),
np.float64(0.35919880867004395),np.float64(236.24277832381148),np.float64(4.915625),
np.float64(0.3593919277191162),np.float64(235.26336357620303),np.float64(4.916375),
np.float64(0.35959911346435547),np.float64(234.50894951385598),np.float64(4.91675),
np.float64(0.3598179817199707),np.float64(233.87365346135323),np.float64(4.917125),
np.float64(0.3599967956542969),np.float64(233.9663008023432),np.float64(4.917875),
np.float64(0.3601868152618408),np.float64(232.55012001863912),np.float64(4.9197500000000005),
np.float64(0.3603959083557129),np.float64(230.33981916930657),np.float64(4.91875),
np.float64(0.3606088161468506),np.float64(232.62953202520197),np.float64(4.9190000000000005),
np.float64(0.36081981658935547),np.float64(232.23247199238773),np.float64(4.918),
np.float64(0.3610038757324219),np.float64(233.34424008426757),np.float64(4.9175),
np.float64(0.36119890213012695),np.float64(233.4104167564033),np.float64(4.917375),
np.float64(0.36139392852783203),np.float64(234.5751261859917),np.float64(4.914),
np.float64(0.36159396171569824),np.float64(238.08248980918407),np.float64(4.9145),
np.float64(0.3618168830871582),np.float64(236.32219033037433),np.float64(4.915125),
np.float64(0.3619990348815918),np.float64(234.50894951385598),np.float64(4.91625),
np.float64(0.3621938228607178),np.float64(233.68835877937326),np.float64(4.916125),
np.float64(0.36239099502563477),np.float64(233.84718279249893),np.float64(4.917625),
np.float64(0.36260390281677246),np.float64(232.04717731040776),np.float64(4.92075),
np.float64(0.36281275749206543),np.float64(229.45305176268812),np.float64(4.9186250000000005),
np.float64(0.36300086975097656),np.float64(231.65011727759352),np.float64(4.9185),
np.float64(0.36319589614868164),np.float64(232.52364934978485),np.float64(4.9182500000000005),
np.float64(0.36341190338134766),np.float64(232.8412973760362),np.float64(4.917625),
np.float64(0.3636047840118408),np.float64(233.42365209083042),np.float64(4.917125),
np.float64(0.36383891105651855),np.float64(233.476593428539),np.float64(4.91775),
np.float64(0.3640439510345459),np.float64(233.39718142197614),np.float64(4.916125),
np.float64(0.36422276496887207),np.float64(235.64718827459012),np.float64(4.915875),
np.float64(0.3644289970397949),np.float64(235.1310102319316),np.float64(4.916375),
np.float64(0.3646268844604492),np.float64(234.25747815974032),np.float64(4.916625),
np.float64(0.36484384536743164),np.float64(233.75453545150896),np.float64(4.917),
np.float64(0.36501598358154297),np.float64(233.97953613677035),np.float64(4.91575),
np.float64(0.3652369976043701),np.float64(234.69424419583598),np.float64(4.9165),
np.float64(0.36542797088623047),np.float64(234.8001268712531),np.float64(4.915375),
np.float64(0.36563587188720703),np.float64(234.36336083515744),np.float64(4.91625),
np.float64(0.3658406734466553),np.float64(234.00600680562462),np.float64(4.916875),
np.float64(0.36602187156677246),np.float64(233.17218073671475),np.float64(4.9165),
np.float64(0.36621689796447754),np.float64(233.17218073671475),np.float64(4.915875),
np.float64(0.36640000343322754),np.float64(233.82071212364465),np.float64(4.916625),
np.float64(0.36661791801452637),np.float64(233.14571006786048),np.float64(4.916875),
np.float64(0.3668179512023926),np.float64(233.97953613677035),np.float64(4.9165),
np.float64(0.367002010345459),np.float64(234.13836014989604),np.float64(4.917125),
np.float64(0.36721086502075195),np.float64(233.91335946463465),np.float64(4.91625),
np.float64(0.36742186546325684),np.float64(233.8074767892175),np.float64(4.917),
np.float64(0.36760807037353516),np.float64(233.21188673999617),np.float64(4.917375),
np.float64(0.36780881881713867),np.float64(233.88688879578035),np.float64(4.916125),
np.float64(0.36800289154052734),np.float64(233.37071075312187),np.float64(4.917),
np.float64(0.36820483207702637),np.float64(234.36336083515744),np.float64(4.914875),
np.float64(0.368485689163208),np.float64(237.26189907470132),np.float64(4.91525),
np.float64(0.36865878105163574),np.float64(236.08395431068578),np.float64(4.915125),
np.float64(0.36881184577941895),np.float64(234.4824788450017),np.float64(4.916875),
np.float64(0.3690187931060791),np.float64(234.3501255007303),np.float64(4.9155),
np.float64(0.3692178726196289),np.float64(233.91335946463465),np.float64(4.916625),
np.float64(0.36942481994628906),np.float64(231.4515872611864),np.float64(4.920375),
np.float64(0.36962294578552246),np.float64(229.46628709711524),np.float64(4.9185),
np.float64(0.3698239326477051),np.float64(230.78982053982935),np.float64(4.9185),
np.float64(0.370013952255249),np.float64(231.94129463499064),np.float64(4.917625),
np.float64(0.37020087242126465),np.float64(233.476593428539),np.float64(4.917125),
np.float64(0.37044692039489746),np.float64(232.80159137275479),np.float64(4.91725),
np.float64(0.3706369400024414),np.float64(232.80159137275479),np.float64(4.917375),
np.float64(0.37083005905151367),np.float64(233.27806341213187),np.float64(4.91725),
np.float64(0.3710339069366455),np.float64(233.10600406457905),np.float64(4.91775),
np.float64(0.3712339401245117),np.float64(232.94718005145336),np.float64(4.917125),
np.float64(0.3714308738708496),np.float64(233.01335672358906),np.float64(4.916125),
np.float64(0.3716237545013428),np.float64(233.50306409739326),np.float64(4.9165),
np.float64(0.3718440532684326),np.float64(233.63541744166469),np.float64(4.916875),
np.float64(0.3720219135284424),np.float64(233.37071075312187),np.float64(4.9175),
np.float64(0.3722248077392578),np.float64(233.33100474984045),np.float64(4.917),
np.float64(0.37243103981018066),np.float64(233.8074767892175),np.float64(4.9155),
np.float64(0.3726339340209961),np.float64(235.84571829099724),np.float64(4.916125),
np.float64(0.3728358745574951),np.float64(233.97953613677035),np.float64(4.9175),
np.float64(0.373046875),np.float64(233.476593428539),np.float64(4.9165),
np.float64(0.3732316493988037),np.float64(233.93983013348893),np.float64(4.917375),
np.float64(0.3734147548675537),np.float64(233.7677707859361),np.float64(4.916),
np.float64(0.37363600730895996),np.float64(234.33689016630316),np.float64(4.915875),
np.float64(0.3738408088684082),np.float64(234.83983287453452),np.float64(4.91675),
np.float64(0.3740420341491699),np.float64(233.93983013348893),np.float64(4.91775),
np.float64(0.37421679496765137),np.float64(233.27806341213187),np.float64(4.91675),
np.float64(0.3744370937347412),np.float64(233.26482807770472),np.float64(4.917),
np.float64(0.374619722366333),np.float64(233.30453408098614),np.float64(4.9175),
np.float64(0.3748178482055664),np.float64(232.97365072030763),np.float64(4.9175),
np.float64(0.37502002716064453),np.float64(233.6089467728104),np.float64(4.917),
np.float64(0.37522077560424805),np.float64(233.86041812692608),np.float64(4.91725),
np.float64(0.3754129409790039),np.float64(233.78100612036323),np.float64(4.916875),
np.float64(0.37562108039855957),np.float64(233.87365346135323),np.float64(4.917625),
np.float64(0.3758418560028076),np.float64(233.46335809411184),np.float64(4.91575),
np.float64(0.37604188919067383),np.float64(233.97953613677035),np.float64(4.917),
np.float64(0.37622976303100586),np.float64(233.06629806129763),np.float64(4.916375),
np.float64(0.3764357566833496),np.float64(235.91189496313294),np.float64(4.9135),
np.float64(0.3766341209411621),np.float64(236.7324856976157),np.float64(4.915625),
np.float64(0.37683701515197754),np.float64(235.93836563198724),np.float64(4.91525),
np.float64(0.3770418167114258),np.float64(234.72071486469025),np.float64(4.9175),
np.float64(0.3772447109222412),np.float64(234.25747815974032),np.float64(4.91575),
np.float64(0.3774418830871582),np.float64(233.59571143838326),np.float64(4.917625),
np.float64(0.37763500213623047),np.float64(230.14128915289945),np.float64(4.918875),
np.float64(0.3778398036956787),np.float64(230.47217251357796),np.float64(4.918),
np.float64(0.3780369758605957),np.float64(231.94129463499064),np.float64(4.918125),
np.float64(0.37823486328125),np.float64(232.76188536947336),np.float64(4.916875),
np.float64(0.37843775749206543),np.float64(232.92070938259906),np.float64(4.91725),
np.float64(0.37862396240234375),np.float64(233.3177694154133),np.float64(4.917625),
np.float64(0.37883782386779785),np.float64(232.58982602192054),np.float64(4.917625),
np.float64(0.37903881072998047),np.float64(232.72217936619194),np.float64(4.917375),
np.float64(0.3792397975921631),np.float64(233.07953339572475),np.float64(4.91625),
np.float64(0.3794238567352295),np.float64(233.72806478265468),np.float64(4.917),
np.float64(0.3796358108520508),np.float64(233.29129874655902),np.float64(4.91675),
np.float64(0.3798367977142334),np.float64(233.62218210723753),np.float64(4.917),
np.float64(0.38003993034362793),np.float64(233.72806478265468),np.float64(4.916875),
np.float64(0.3802368640899658),np.float64(234.2177721564589),np.float64(4.91675),
np.float64(0.38044190406799316),np.float64(233.45012275968472),np.float64(4.916625),
np.float64(0.38063478469848633),np.float64(233.13247473343333),np.float64(4.916625),
np.float64(0.38083600997924805),np.float64(235.07806889422307),np.float64(4.915625),
np.float64(0.38104701042175293),np.float64(235.6736589434444),np.float64(4.916),
np.float64(0.38136887550354004),np.float64(234.62806752370025),np.float64(4.916625),
np.float64(0.38147974014282227),np.float64(233.06629806129763),np.float64(4.91675),
np.float64(0.38165974617004395),np.float64(234.27071349416747),np.float64(4.916125),
np.float64(0.38182973861694336),np.float64(234.2177721564589),np.float64(4.916),
np.float64(0.38204479217529297),np.float64(234.9324802155245),np.float64(4.915625),
np.float64(0.3822367191314697),np.float64(235.34277558276588),np.float64(4.915875),
np.float64(0.3824276924133301),np.float64(234.40306683843886),np.float64(4.91625),
np.float64(0.38262486457824707),np.float64(234.00600680562462),np.float64(4.917125),
np.float64(0.3828420639038086),np.float64(234.00600680562462),np.float64(4.916875),
np.float64(0.38303184509277344),np.float64(233.27806341213187),np.float64(4.9175),
np.float64(0.38321781158447266),np.float64(233.45012275968472),np.float64(4.916125),
np.float64(0.3834259510040283),np.float64(234.3501255007303),np.float64(4.916625),
np.float64(0.38361477851867676),np.float64(234.33689016630316),np.float64(4.915875),
np.float64(0.38383984565734863),np.float64(234.27071349416747),np.float64(4.916625),
np.float64(0.38404083251953125),np.float64(234.01924214005177),np.float64(4.916625),
np.float64(0.38423705101013184),np.float64(233.8074767892175),np.float64(4.9165),
np.float64(0.38443779945373535),np.float64(233.48982876296614),np.float64(4.91775),
np.float64(0.38464999198913574),np.float64(233.13247473343333),np.float64(4.917375),
np.float64(0.3848438262939453),np.float64(235.66042360901727),np.float64(4.91475),
np.float64(0.38504481315612793),np.float64(236.65307369105284),np.float64(4.914375),
np.float64(0.3852419853210449),np.float64(236.08395431068578),np.float64(4.91575),
np.float64(0.38544511795043945),np.float64(234.60159685484598),np.float64(4.916125),
np.float64(0.38562774658203125),np.float64(234.09865414661462),np.float64(4.91625),
np.float64(0.38583970069885254),np.float64(233.569240769529),np.float64(4.91725),
np.float64(0.38602685928344727),np.float64(230.19423049060802),np.float64(4.9193750000000005),
np.float64(0.38624000549316406),np.float64(230.4457018447237),np.float64(4.9185),
np.float64(0.38643503189086914),np.float64(231.319233916915),np.float64(4.91775),
np.float64(0.3866279125213623),np.float64(232.1927659891063),np.float64(4.918),
np.float64(0.3868420124053955),np.float64(233.11923939900618),np.float64(4.917125),
np.float64(0.3870420455932617),np.float64(232.32511933337773),np.float64(4.9175),
np.float64(0.38724589347839355),np.float64(232.97365072030763),np.float64(4.91775),
np.float64(0.38744497299194336),np.float64(233.23835740885045),np.float64(4.91675),
np.float64(0.38761186599731445),np.float64(233.34424008426757),np.float64(4.917),
np.float64(0.3878347873687744),np.float64(233.59571143838326),np.float64(4.916375),
np.float64(0.38805174827575684),np.float64(233.6089467728104),np.float64(4.916625),
np.float64(0.38824892044067383),np.float64(233.70159411380038),np.float64(4.917),
np.float64(0.3884449005126953),np.float64(233.82071212364465),np.float64(4.915875),
np.float64(0.3886418342590332),np.float64(234.53542018271028),np.float64(4.91725),
np.float64(0.3888397216796875),np.float64(233.27806341213187),np.float64(4.917),
np.float64(0.38904690742492676),np.float64(233.72806478265468),np.float64(4.915375),
np.float64(0.3892359733581543),np.float64(235.8589536254244),np.float64(4.91575),
np.float64(0.389448881149292),np.float64(235.06483355979591),np.float64(4.91675),
np.float64(0.3896486759185791),np.float64(234.42953750729313),np.float64(4.916625),
np.float64(0.389847993850708),np.float64(233.42365209083042),np.float64(4.916875),
np.float64(0.3900458812713623),np.float64(234.08541881218747),np.float64(4.91525),
np.float64(0.3902418613433838),np.float64(234.50894951385598),np.float64(4.916125),
np.float64(0.39044189453125),np.float64(234.52218484828313),np.float64(4.91625),
np.float64(0.39061975479125977),np.float64(234.3501255007303),np.float64(4.91575),
np.float64(0.39083170890808105),np.float64(234.1515954843232),np.float64(4.917),
np.float64(0.3910529613494873),np.float64(234.69424419583598),np.float64(4.916),
np.float64(0.39124178886413574),np.float64(234.2839488285946),np.float64(4.91675),
np.float64(0.39142394065856934),np.float64(234.00600680562462),np.float64(4.917),
np.float64(0.39162278175354004),np.float64(233.71482944822753),np.float64(4.91575),
np.float64(0.3918147087097168),np.float64(234.16483081875032),np.float64(4.917375),
np.float64(0.3920168876647949),np.float64(232.96041538588048),np.float64(4.91675),
np.float64(0.39222288131713867),np.float64(233.71482944822753),np.float64(4.916625),
np.float64(0.3924238681793213),np.float64(234.03247747447892),np.float64(4.916125),
np.float64(0.39264583587646484),np.float64(233.62218210723753),np.float64(4.915875),
np.float64(0.3928229808807373),np.float64(234.17806615317747),np.float64(4.91675),
np.float64(0.3930180072784424),np.float64(235.25012824177588),np.float64(4.91425),
np.float64(0.39321374893188477),np.float64(236.98395705173138),np.float64(4.915),
np.float64(0.3934159278869629),np.float64(236.1236603139672),np.float64(4.91525),
np.float64(0.39363694190979004),np.float64(235.21042223849446),np.float64(4.916625),
np.float64(0.3938307762145996),np.float64(234.3898315040117),np.float64(4.916625),
np.float64(0.3940858840942383),np.float64(233.93983013348893),np.float64(4.919875),
np.float64(0.39423298835754395),np.float64(232.40453133994058),np.float64(4.916375),
np.float64(0.39441490173339844),np.float64(231.49129326446783),np.float64(4.9186250000000005),
np.float64(0.3946187496185303),np.float64(232.08688331368919),np.float64(4.9175),
np.float64(0.39482998847961426),np.float64(232.94718005145336),np.float64(4.917),
np.float64(0.3950488567352295),np.float64(233.2515927432776),np.float64(4.916),
np.float64(0.39522886276245117),np.float64(234.4824788450017),np.float64(4.9175),
np.float64(0.39542698860168457),np.float64(232.85453271046336),np.float64(4.916),
np.float64(0.39562392234802246),np.float64(236.26924899266575),np.float64(4.912875),
np.float64(0.3958168029785156),np.float64(237.1560163992842),np.float64(4.916625),
np.float64(0.3960108757019043),np.float64(235.36924625162015),np.float64(4.9155),
np.float64(0.39623284339904785),np.float64(234.4824788450017),np.float64(4.9165),
np.float64(0.39643287658691406),np.float64(233.9663008023432),np.float64(4.917125),
np.float64(0.39663100242614746),np.float64(233.7413001170818),np.float64(4.918875),
np.float64(0.3968369960784912),np.float64(229.6780524479495),np.float64(4.918),
np.float64(0.39704394340515137),np.float64(232.1001186481163),np.float64(4.918),
np.float64(0.39725470542907715),np.float64(232.52364934978485),np.float64(4.916625),
np.float64(0.39743590354919434),np.float64(234.13836014989604),np.float64(4.91425),
np.float64(0.39766383171081543),np.float64(236.0310129729772),np.float64(4.9155),
np.float64(0.39784908294677734),np.float64(234.65453819255455),np.float64(4.916625),
np.float64(0.3980538845062256),np.float64(233.2515927432776),np.float64(4.9165),
np.float64(0.39824509620666504),np.float64(233.79424145479038),np.float64(4.916625),
np.float64(0.39844298362731934),np.float64(234.2177721564589),np.float64(4.916125),
np.float64(0.39864587783813477),np.float64(234.16483081875032),np.float64(4.916),
np.float64(0.3988630771636963),np.float64(234.8927742122431),np.float64(4.916),
np.float64(0.39902472496032715),np.float64(234.50894951385598),np.float64(4.91575),
np.float64(0.3992578983306885),np.float64(234.3898315040117),np.float64(4.916),
np.float64(0.39945006370544434),np.float64(233.7677707859361),np.float64(4.9165),
np.float64(0.39963483810424805),np.float64(233.95306546791608),np.float64(4.9165),
np.float64(0.39983677864074707),np.float64(233.50306409739326),np.float64(4.9165),
np.float64(0.40003180503845215),np.float64(233.50306409739326),np.float64(4.916),
np.float64(0.40024375915527344),np.float64(234.323654831876),np.float64(4.916625),
